"Name","Account Category","Billing City","Billing State","Billing Postal Code","Date Subscribed","ID","Config ID","Subscription Status","Subscription Opportunity","Subscription Fee","Twitter"
"Lizza's Apothecare Pharmacy","Affiliate","Uniontown","PA","15401","","6b2faaf2-122b-6957-72f6-52b8875bf3d2","","","","","No"
"Quincy Pharmacy","Affiliate","Arlington","VA","22203","","9f045ac0-62cd-a8ef-f3c2-51dd72aebd2d","","","Pro Monthly","","Yes"
"Global Pharmacy & Medical Equipment","Affiliate","Haleyville","AL","35565","","36ea1765-b463-3690-5f6a-5359743653c7","","","Platinum Monthly","","No"
"Goodrich Drug Store - Andover","Affiliate","Andover","MN","55304","","29cdb302-72ee-4dfb-a7ec-521f9b7b37ca","","","","","No"
"Tru-Valu Drugs of Sanford, Inc.","Affiliate","Sanford","FL","32771-7023","","a71570e1-2a29-f100-2a43-520d3921b4cd","","","Pro Monthly","","Yes"
"Thrifty White Pharmacy-Sandstone","Affiliate","Sandstone","MN","55072","","67efe95b-ccf0-100f-90d3-522f7bb071b3","","","","","No"
"Gill's Family Pharmacy","Affiliate","McArthur","OH","45651","","1a562135-43aa-10f6-ca46-51cc62e95a8f","","","Pro Monthly","","Yes"
"Charlie's U-Save Pharmacy","Affiliate","York","NE","68467","","9c3903b5-e24b-28bb-0417-51eebfe73ed5","","","Pro Monthly","","Yes"
"Stone Oak Pharmacy","Affiliate","San Antonio","TX","78258","04/16/2015","a7554445-cf50-8068-db98-5149d2c8fa0d","2104944272","","Platinum Monthly","","Yes"
"B + H Apothecary","Affiliate","Booneville","KY","41314","","d8246825-13c7-c894-f223-53878d51bc50","","","Pro Monthly","","No"
"Dr. Aziz Pharmacy","Affiliate","Indianapolis","IN","46256","","2e9c8d83-a5ab-8cac-a8a7-51b7b5ae8f58","","","Pro Monthly","","Yes"
"Women's Health and Surgery Center","Affiliate","","","","","e5d00293-30f7-247c-5e32-50a16ec324e0","","","","","Yes"
"Trustee Drugs and Medical Supplies","Affiliate","Forest Park","GA","30297","09/21/2015","a6b7439e-2ddf-b511-0c8a-535976507875","4043669088","","Premier Monthly","","Yes"
"Mount Pleasant Care Pharmacy","Affiliate","Washington","DC","20010","","b45db362-5349-33c8-5523-527d16e90d4d","","","","","Yes"
"Walker Drug","Affiliate","Moab","UT","84532","10/20/2015","bd05c6bd-d90f-bca6-d763-53ed2f5a2ce3","","","","","No"
"Spoon Drug - Plaza Location","Affiliate","Sand Springs","OK","74063","","88d37f61-2557-97f6-6d4c-521b666945d5","","","","","No"
"Town & Country Drug Inc","Affiliate","Taylorsville,","NC","28681","","70e71dfb-c1a3-1f3e-a343-535975bfbe05","","","Pro Monthly","","No"
"Lemaire's Pharmacy","Affiliate","Lafayette","LA","70503","","11a5366b-f5b5-7390-b46c-52a9f320b006","","","","","No"
"Chancy Drugs","Affiliate","","","","","55a2e683-a6bf-cd58-2911-53fe4944d37f","","","","","No"
"Arma Drug - ProRx","Affiliate","Arma","KS","66712","","d9ccdad3-e66c-8ba8-a3ee-51b8a83d24d4","","","","","Yes"
"Layton Family Pharmacy","Affiliate","Covington","LA","70433","","b6e902fd-7aeb-e293-10b0-54ff2846c0ad","9858881170","","Platinum Monthly","","Yes"
"The Medicine Shoppe #1336 Overland Park","Affiliate","Overland Park","KS","66212","","a7330582-ea52-3142-83a6-53078b527316","","","","","No"
"Market Pharmacy","Affiliate","Philadelphia","PA","19104","","2d8dfc67-c60c-3d57-4e2b-52b3179062de","2675776665","","","","No"
"Cornerstone Internal Medicine","Member","Macomb","MI","48044","","981fa964-4789-414c-39d3-522df31ae179","","","","","No"
"Cardinal Drug Store","Affiliate","Chanute","KS","66720","","6326078a-db2e-741f-491c-51b8a940c1f0","","","","","Yes"
"Claiborne Pharmacy","Affiliate","Homer","LA","71040","","14f04abe-9e61-c79d-83d3-52a9f3fa8c22","","","Platinum Monthly","","No"
"Scott Killian, M.A., LMFT","Affiliate","Vancouver","WA","98660","","186373bf-7def-7a59-ede5-527285e2f5d2","","","","","No"
"Community Pharmacy - Plainwell (child)","Affiliate","Plainwell","MI","49080","","8b873431-bbde-d54a-e384-543eec356a16","","","Premier Monthly","","Yes"
"Sav-On 12 Novi Drugs","Affiliate","Novi","MI","48375","","5697c9c5-dc19-0563-1930-52b49cfc8ac8","","","","","No"
"Wortham Insurance","Partner","","","","","b856b297-4074-7ef8-caa8-50a56d6390f0","","","","","No"
"Vista Smiles","Affiliate","Columbia","SC","29201","","8ebef580-7711-85af-0bec-5272b3ddff5e","","","","","No"
"Bolivar Drug","Affiliate","Bolivar","MO","65613","07/08/2015","5e4cd090-286a-0906-44da-51a66d40d0c0","4173267455","","Pro Monthly","","Yes"
"Sav-On Drugs 5 Sterling Heights","Affiliate","Grosse Ile","MI","48138","","cab8660a-8d0a-52e5-d3fd-52b49cbc5dbb","","","","","No"
"U.S. Drug Mart - Midlothian, TX","Affiliate","Midlothian","TX","76065","","3c80da77-45a9-88ef-87e3-537b649829c3","9727751180","","Pro Yearly","","No"
"County Line Pharmacy","Affiliate","Hatboro","PA","19040-3231","05/13/2015","85754fc9-f1f6-fa7e-3f9c-52b886d937cb","2154437700","","Platinum Monthly","","Yes"
"Sudbury Pharmacy","Affiliate","SUDBURY","MA","01701","","817d1131-b752-839f-fae2-520e8cf4a4df","","","","","No"
"Family Choice Pharmacy","Affiliate","New Carrollton","MD","20784","","a79c1edc-1539-400f-407e-52701acd28e2","3015771212","","Pro Monthly","","Yes"
"Lincoln Pharmacy","Affiliate","Pittsburg","PA","15209","","3142eb1a-e9bc-29d7-def4-52b8873dac29","","","","","No"
"McGee's Prescription Shop","Affiliate","Shelbyville","TN","37160","","49061c71-400b-5d08-b6e6-543c1e333619","","","Pro Monthly","","Yes"
"MedExpress Pharmacy","Affiliate","Salisbury","NC","28144","","ce852edf-a25a-8462-f396-520e9993c263","","","","","Yes"
"Medical Center West Pharmacy","Affiliate","Evans","GA","30809","","bbc1a0a7-7dc4-e567-bb0d-52277a06725a","","","Website Only Monthly","","Yes"
"Cullen Care Pharmacy","Affiliate","Houston","TX","77021","","3d208ab1-3618-fceb-8620-517aab5b9651","7137472100","","Pro Monthly","","Yes"
"Bouvier Pharmacy","Affiliate","Marlboro","MA","1752","","8c618970-c178-3bf3-21ed-525f1d97771b","","","","","Yes"
"Katz Drugs","Affiliate","Brooklyn","NY","11206","","9dc7caae-6483-6336-9d98-53e27e0304a2","","","Prime Free NCPA Member Benefit","","Yes"
"Homedale Drug","Affiliate","Homedale","ID","83628","10/13/2015","6a7819fe-69c6-7b87-8f29-535974b2d5c9","2083373898","","Premier Monthly","","No"
"Anchor Counseling Services","Affiliate","Portland","OR","","","36031992-29af-6670-d1b7-50bcdfcd76ee","","","","","Yes"
"NASW Ohio Chapter","Affiliate","","","","","5b3220dc-80e8-f170-d070-51154c2db46e","","","","","Yes"
"Baederwood Pharmacy","Affiliate","Jenkintown","PA","19046","","e631eebf-4417-48fb-0bc2-52b886e2b6e8","","","","","No"
"Berley's Pharmacy Inc","Affiliate","Barnwell","SC","29812","","d7eb49a0-56af-fa1e-f70c-5360169a283a","","","","","No"
"Fino's Pharmacy - Dallas (Child)","Affiliate","Dallas","PA","18612","","f05a0fe9-bbca-f0d8-a083-52b8865b401d","","","","","No"
"Acadianna Pharmacy (Richard Medical Clinic)","Affiliate","Opelousas","LA","70570-0000","","6c74859f-8d62-ff5c-c3c8-52a9f3dc1ba8","","","Platinum Monthly","","No"
"Southpark Pharmacy","Affiliate","Amarillo","TX","79109","05/21/2015","451cdbc3-f3d5-d70c-68a8-51d2d88dba62","8063582428","","Premier Monthly","","No"
"Walker Drug Co","Affiliate","Moab","Utah","84532","","e704c478-d1b6-8cfa-c3da-53ed2a2838d9","","","Pro Monthly","","Yes"
"Los Ebanos Pharmacy","Affiliate","Brownsville","TX","78520","04/29/2015","80345ced-3de4-34e7-8ffe-5359754a92d3","9565428542","","Premier Monthly","","No"
"Medicine Mart Pharmacy (Lexington, SC) Child","Affiliate","Lexington","SC","29072","","41b0325f-6ad6-7bca-d8dd-5277ca4b087f","","","","","Yes"
"White Drug-Mohall","Affiliate","Mohall","ND","58761","","bc6a202f-f5b7-c3dd-ab23-522f7b67b42c","","","","","No"
"Sav-On Drugs 8 Imlay City","Affiliate","Bloomfield","MI","48301","","eeb6845b-6046-b8d5-979c-52b49c6cf18d","","","","","No"
"Bowne Chemists","Affiliate","Flushing","NY","11358","08/03/2015","65826d01-8f1c-b685-d14c-54d286a8ace0","7187672400","","Pro Monthly","","No"
"Terry's Pharmacy","Affiliate","Jacksboro,","TN","37757","","eae8abf2-44bf-173a-464d-5499cb403af0","4235637455","","","","Yes"
"Carroll Pharmacy","Affiliate","Smithfield","NC","27577","05/18/2015","49a3e7ab-6ae2-6de5-31f3-535978bdf94e","","","Website Only Yearly","","No"
"Carpenter Dent Drugs","Affiliate","Scottsville","Kentucky","42164","","8f288948-72c3-a142-e373-53e92bb5c8f1","","","Prime Free NCPA Member Benefit","","Yes"
"Polk City Pharmacy","Affiliate","Polk City","IA","50226-0365","","e8df03f3-20ea-5057-d1bf-53078bafab0c","","","Prime Free NCPA Member Benefit","","No"
"The Medicine Shoppe Pharmacy - Greenville","Affiliate","Greenville","PA","16125","","2baa45f6-2011-1d82-5651-5213b744c21b","","","","","No"
"Centennial Pharmacy Bridesburg","Affiliate","Philadelphia","PA","19137","","a3ba77ae-6845-1471-4f1a-52b8877ba1df","","","","","No"
"Maple Mountain Pharmacy","Affiliate","Mapleton","UT","84664","08/20/2015","2a264525-0044-ddb0-0ed2-53dc04f26f3b","8015156048","","Mobile (Monthly)","","Yes"
"The Medicine Shoppe - Jacksonville, IL","Affiliate","Jacksonville","IL","62650","","581c6b20-0849-d8ae-9acc-52c1aadd71f0","","","","","No"
"Bluejay Pharmacy","Affiliate","Spring","TX","77379","","8554f705-8541-0f52-4c53-531a0268bcdd","","","Prime Free NCPA Member Benefit","","No"
"La Plata Pharmacy","Affiliate","La Plata","MO","63549","04/20/2015","40c2203b-42ba-88da-a1d4-535974e01228","6603324456","","Platinum Monthly","","Yes"
"Reagan's RX Compounding","Affiliate","Minden","LA","71055-3028","06/19/2015","da6b3a57-d195-2fa4-182d-52a9f3e9ed5d","3183827948","","Mobile (Monthly)","","No"
"Zeitgeist Wellness Group","Affiliate","","","","","181d302e-19f3-fed7-cb19-510811f19059","","","","","Yes"
"Burns Pharmacy","Affiliate","Morrisville","PA","19067","10/09/2015","9c3006c9-03f5-94bf-2164-52b8866a1b5e","2152955585","","Mobile (Monthly)","","No"
"Mc Kean St. Pharmacy","Affiliate","Philadelphia","PA","19145","","ce6b5efa-3861-7420-0d3d-52b887310149","","","","","No"
"Medical Center Pharmacy of Many, LA","Affiliate","Many","LA","71449","08/31/2015","4f32f78b-1553-c6ae-04df-52a9f3aabcbc","3182565658","","Platinum Monthly","","No"
"Provo Center for Couples and Families","Affiliate","Provo","UT","84604","","361bf2d3-5d7a-d0ff-be0e-52712c82ddcd","","","","","No"
"GoodPill Pharmacy Inc.","Affiliate","Pembroke Pines","FL","33027","04/08/2015","c2e3479b-44e1-ab4b-f9bc-532c65598056","","","Pro Monthly","","Yes"
"Meche's Family Drugs of Duson","Affiliate","Duson","LA","70529-0000","","744cc0b1-bd9f-088b-e550-52a9f34ee8d8","","","","","No"
"Medicap Pharmacy - Gray, GA","Affiliate","Gray","GA","31032","","2a57e0b8-6309-ff49-2dad-5359759eae29","","","Platinum Monthly","","Yes"
"Weatherwax Sav-Mor Hinckley","Affiliate","Jackson","MI","49203","","afeb2d3c-191c-10b8-4314-52b49c9fd2a5","","","","","No"
"Cure Discount Pharmacy","Affiliate","Philadelphia","PA","19132","","e116ba00-3d93-6599-c786-52b88623eaf5","","","","","No"
"Pleasanton Custom Care Pharmacy","Affiliate","Pleasanton","CA","94566","","41eae0a8-6d36-d806-ff2b-51f7eae9390d","9258464455","","Mobile (Yearly)","","Yes"
"Torgsyn Discount Pharmacy","Affiliate","SAN FRANCISCO","CA","94121","","23c7c04c-473a-6323-28a7-520e8d9f95cd","4157523737","","Platinum Monthly","","Yes"
"Four Star Drug","Affiliate","Lincoln","NE","68505-1822","","c78f36ee-dc6d-d6c0-aa76-51f7ea249822","","","Pro Monthly","","Yes"
"Medicine Shoppe Pharmacy - Canandaigua","Affiliate","Canandaigua","NY","14424","","cf25d4b7-e9e9-e68b-4ab7-520e99cf87b5","","","","","Yes"
"Family Drug - Columbiana, OH","Affiliate","Columbiana","OH","44408","","7adad301-3c64-800e-3256-520e565997ae","","","","","Yes"
"Tim's Rx ? Beavercreek","Affiliate","Beavercreek","OH","45432","","cf485876-0b69-ed97-fd1f-524d925cda27","","","","","No"
"Shady Grove Pharmacy","Affiliate","Rockville","MD","20850","09/01/2015","cc4b9227-7f90-d5bc-7074-557b03ab316a","3019484222","","Mobile (Monthly)","","No"
"Willow Bend Pharmacy","Affiliate","plano","TX","75028","","87180083-516d-276a-b70b-52cb233ff31c","","","","","No"
"Western Drug","Affiliate","Springerville","AZ","85938","","27f0bfaf-e413-faee-d2a1-535975dfd3fe","","","Pro Monthly","","Yes"
"Arthur's Original Pharmacy","Affiliate","Tamarac","FL","33321","","6d1cf8d0-635e-dce8-cf42-525c30f0ee9a","","","Pro Monthly","","Yes"
"NatureCARE Pharmacy - Reisterstown","Affiliate","Reisterstown","MD","21136","04/30/2015","180b7ae1-2fe7-ff57-f91a-544e96c44346","4108339844","","Mobile (Monthly)","","Yes"
"Atkins Family Pharmacy","Affiliate","Atkins","AR","72823","05/21/2015","c513b8a9-60ef-d16a-df7d-53fb6c2b8985","4796417878","","Compounding+ Monthly","","Yes"
"R & R Pharmacy","Affiliate","Jerome","ID","83338","","d5781729-fc6d-9daa-9d18-520e8d6103f1","","","","","Yes"
"McLaughlin's Drug Store","Affiliate","McConnellsburg","PA","17233","04/30/2015","5169f6ec-29bd-b5e1-f91b-52b8878e499f","7174854852","","","","Yes"
"Mary Haven","Member","","","","","cf4a24c1-a229-bc25-1779-50a315c71dac","","","","","No"
"Salem's Pharmacy","Affiliate","Ypsilanti","MI","48198","","8b6002ec-7584-0138-83a6-53078b9ea125","","","Prime Free NCPA Member Benefit","","No"
"Aspire Rx Pharmacy","Affiliate","Philadelphia","PA","19104","","2dc3bb7d-7303-49d0-e1d6-52b886e7806e","","","Pro Monthly","","No"
"Thrifty White Pharmacy-Bemidji","Affiliate","Bemidji","MN","56601","","242b9b85-a879-8562-c59c-522f7b6ab864","","","","","No"
"Raymond's Family Pharmacy","Affiliate","New Roads","LA","70760","","9dcc992f-ec72-f3bf-3a7b-52a9f3114661","","","","","No"
"Trinity Medical Center /Cancer Center - AL","Affiliate","Birmingham","AL","35213","","6243d863-a15e-d989-b6f8-51e960ec73f8","","","","","No"
"Transit Hill Pharmacy","Affiliate","Depew","NY","14043","","1356f711-6ebc-6ca3-5623-5179634cbc46","","","","","Yes"
"Benstar Pharmacy","Affiliate","Detroit","MI","48234","","97a8b143-3277-5ea1-3549-534fe77ff9ae","","","","","No"
"Medicine Shoppe Willcox AZ - 1974","Affiliate","Willcox","AZ","85643","","7121f42d-04e3-9e13-2ac8-51ca1a9996a4","","","Platinum Monthly","","Yes"
"Pinnow Pharmacy","Affiliate","Brodhead","WI","53520","","d2f7289f-e8f5-472a-2315-53078b08b0eb","","","","","No"
"Bowling Family Pharmacy","Affiliate","Barbourville","KY","40906","","21c95ca7-00ca-e989-4311-53597565e5ca","6065462210","","Compounding+ Monthly","","Yes"
"Mom and Pop Drug","Affiliate","Rogersville","MO","65742","08/06/2015","99eecb60-63ae-5151-c80f-52bd1fb66b9c","4177537774","","","","Yes"
"Health Center Pharmacy","Affiliate","Winfield","KS","67156","","a11f0930-a154-557b-714a-52600ca8447a","","","","","Yes"
"Dr. Rita's Pharmacy","Affiliate","Houston","TX","77077","","b69c42c0-c1d3-8f5b-fa50-51dee8188e5a","","","Pro Monthly","","Yes"
"Montgomery Pharmacy","Affiliate","Montgomery","LA","71454","","72151c7d-069a-60fa-d742-52a9f3f9359e","","","","","No"
"Cherokee Pharmacy - Cleveland, TN","Affiliate","Cleveland","TN","37311","","62738f6c-9842-38fc-f94b-519a417dc18b","","","","","No"
"Mountainview Pharmacy","Affiliate","marietta","georgia","30067","","ed4b032a-e8d1-d707-6dfb-54aea54242e5","","","Prime Free NCPA Member Benefit","","Yes"
"Pittman's Pharmacy","Affiliate","Windsor","NC","27983","08/24/2015","4fe40fc0-7a4a-df5e-7da8-535976a426f4","2527943431","","Pro Monthly","","No"
"Sunset Pharmacy","Affiliate","Sunset","LA","70584","","c77f53fa-ee94-2883-f708-52a9f3c9add9","","","","","No"
"Brasstown Professional Pharmacy","Affiliate","Blairsville","GA","30512","","ae7ebc9c-80f4-de80-dcbe-52693a79b7b6","","","Mobile (Monthly)","","Yes"
"Hingham Centre Health Mart Pharmacy (Child)","Affiliate","Hingham","MA","02043","09/09/2015","91417f0e-f91b-277e-ad1f-55f05bcb9a73","","","Premier Monthly","","No"
"Bergen Point Pharmacy","Affiliate","Bayonne","NJ","07002-1150","","1e6a2fd6-2a58-14f2-4b43-52b886afc915","","","","","No"
"Neurology Center of Las Vegas","Affiliate","Las Vegas","NV","89128","","831d1fd4-8f05-4119-8a54-513e60a0bf27","","","","","No"
"Due West Pharmacy","Affiliate","Marietta","GA","30064","","498037f4-1579-16fe-bb17-52026aafecfd","","","","","Yes"
"Training new Pharmacy","Affiliate","Austin","TX","78751","","88f8f6b6-6283-0a95-6b67-542d6b233ae7","","","Prime Free NCPA Member Benefit","","Yes"
"Beene's Drug Store","Affiliate","Tallulah","LA","71284","","c446c0bf-ebde-66b2-3b3e-52a9f31ac2f7","","","","","No"
"Family Drug Pharmacy","Affiliate","Napa","California","94559","","f2de2d33-8771-b27f-0ee7-53e4de43e62a","","","Prime Free NCPA Member Benefit","","Yes"
"Utah Family Pharmacy","Affiliate","Hurricane","UT","84737","","81ce95db-c582-23f2-2069-51eef18e0a90","4356358200","","Compounding+ Monthly","","Yes"
"The Medicine Shoppe #1912 Zapata","Affiliate","Zapata","TX","78076","","5154d023-f85a-3f8d-b04e-53078b6e81f6","","","Pro Monthly","","No"
"Topix","Partner","","","","","6364648f-1ed3-d0c7-ac06-50a56dcbb072","","","","","No"
"Thrifty White Pharmacy-Spencer","Affiliate","Spencer","IA","51301-4037","","892c2d67-b6a4-fa8c-4173-522f7bf438cc","","","","","No"
"Prescription Center","Affiliate","Fairbanks","AK","99701","","57b8b506-a495-aa7e-91bd-51f7eae09bca","","","Mobile (Monthly)","","Yes"
"Pharmacy At Ridge & Midvale","Affiliate","Philadelphia","PA","19129","","c69fabf5-de87-9e9f-92dd-52b887659639","","","","","No"
"Elliott Pharmacy","Affiliate","Maringouin","LA","70757","","8299dce6-2fef-a6c5-0560-52a9f319b8c0","","","","","No"
"Strohecker's Pharmacy","Affiliate","Portland","OR","97201","","7d8039cd-0907-ec0a-d9cb-54bd38b1e746","5032224822","","Mobile (Monthly)","","Yes"
"Bryan's Family Pharmacy","Affiliate","Lebanon","OH","45036","","739b48e0-a2d8-0000-2400-51f7ea1c2442","","","","","No"
"Medicine Shoppe #1822","Affiliate","Onsted","MI","49265","","9f1e84ee-5fd8-651b-da6b-520e8d201667","5174677225","","Premier Monthly","","Yes"
"Best Value Rhome Pharmacy-child","Affiliate","Rhome","TX","76078","","12dbaff8-9153-e3f1-7c67-517a9a058958","","","Pro Monthly","","No"
"Nanticoke Pharmacy","Affiliate","Seaford","DE","19973","","3fcc35c5-e2e9-d19c-f0d7-53e25f39363a","","","Mobile (Monthly)","","Yes"
"Cobb's Pharmacy","Affiliate","George West","TX","78022","","c4da29d8-aa40-c94c-5bd5-51f7eaf11253","","","","","Yes"
"Garrett's Drug Center and Clarkrange Drug Center","Affiliate","Byrdstown","TN","38549","","b5e15ac2-c46c-f5b2-8e41-55355e4b9bf2","","","","","No"
"Coleman Pharmacy","Affiliate","Fort Smith","AR","72904","","385bfb17-d518-deb9-e0e9-526039abebb6","","","","","No"
"Sunray Drugs - 52nd Street","Affiliate","Philadelphia","PA","19139","","77a6c622-d7bc-2752-1252-52b8876e3042","","","","","No"
"Leroy Pharmacy","Affiliate","Bronx","NY","10467","","95ffc64d-a0d1-4416-eef7-52960cdee4d0","","","","","No"
"Care Pharmacy","Affiliate","Corona","CA","92879","","5e072aa2-7c22-9c1b-177d-53597401491e","","","Prime Free NCPA Member Benefit","","No"
"Bedingfield Pharmacy","Affiliate","Pembroke","GA","31321","","ed4db2a1-c85b-4709-b0b3-5453dcc112e9","9126534596","","Pro Yearly","","Yes"
"The Minimally Invasive Hand Institute","Affiliate","Las Vegas","NV","89148","","44e225b9-a253-46bb-41f4-52129d5d02e5","","","","","No"
"Farmacia San Gabriel","Affiliate","Carolina","Puerto Rico","00986","","cc0a5bd0-ad33-49c3-629e-5411ff5de472","","","Prime Free NCPA Member Benefit","","Yes"
"Polar Pharmacy Brooklyn Park","Affiliate","Brooklyn Park","MN","55443","","293c21bd-98c5-a73b-6ba4-530e50df33da","","","","","No"
"Gateway Circle Pharmacy","Affiliate","los angeles","ca","90065","","e99860b5-c794-8bc1-5a39-51cb31666eb4","","","Pro Yearly","","Yes"
"Family Health Mart Pharmacy- Vernon, TX","Affiliate","Vernon","TX","76384","","632a1492-381b-1d1e-e570-51d2db959087","","","","","Yes"
"White Drug-Jamestown 1","Affiliate","Jamestown","ND","58401-5562","","40ad01db-ce92-b192-8195-522f7b9eac98","","","","","No"
"Bryan Pharmacy (Parent)","Affiliate","Enterprise","AL","36330","05/22/2015","d8d1ebf5-e754-38bf-8590-51b7b6abd117","3343475111","","Platinum Monthly","","Yes"
"Thrifty White Pharmacy-Mandan","Affiliate","Mandan","ND","58554","","7d2b4ce1-ed74-3782-85b3-522f7b7f1a69","","","","","No"
